Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,B007_001,B007_002,B007_003,B007_004,B007_005,B007_006,B007_007,B007_008,B007_009,B007_010,B007_011,B007_012,B007_013,B007_014,B007_015,B007_016,B007_017,B007_018,B007_019,B007_020,B007_021
36001,Albany County,"Albany County, New York",0,36,1,,138792,213,64,532,3595,4908,4078,13810,3938,3267,6644,1707,8991,2315,5303,17891,26458,1537,9329,5230,18982
36003,Allegany County,"Allegany County, New York",0,36,3,,19045,210,70,66,607,2956,468,2096,418,220,422,110,388,211,573,3295,2929,147,1243,627,1989
36005,Bronx County,"Bronx County, New York",0,36,5,,463125,190,28,1745,12989,13456,14805,49117,19340,12036,18311,19006,21390,6146,30220,42347,116568,8975,34373,18426,23657
36007,Broome County,"Broome County, New York",0,36,7,,81184,187,72,707,2786,9938,3192,8254,1854,1421,2182,962,3206,718,3586,10897,15617,908,6275,2853,5569
36009,Cattaraugus County,"Cattaraugus County, New York",0,36,9,,33041,265,161,96,1052,4380,1044,4166,792,287,842,251,752,286,1281,4787,4531,1007,2493,1250,3318
36011,Cayuga County,"Cayuga County, New York",0,36,11,,35056,728,61,231,1329,4834,1255,4307,1120,453,869,318,1267,323,1117,4674,5192,354,2655,1124,2845
36013,Chautauqua County,"Chautauqua County, New York",0,36,13,,51946,420,185,230,1409,8764,1409,6247,1369,714,1069,507,1246,353,2219,6820,8103,668,4117,2176,3921
36015,Chemung County,"Chemung County, New York",0,36,15,,35108,71,180,141,1002,4361,1093,3855,726,395,991,295,1304,459,1548,5436,6623,414,2688,1120,2406
36017,Chenango County,"Chenango County, New York",0,36,17,,20774,131,24,106,700,3453,570,2420,504,382,1132,142,622,160,586,3250,2936,154,1259,562,1681
36019,Clinton County,"Clinton County, New York",0,36,19,,32962,482,47,138,1030,3577,1143,4468,1124,484,543,332,795,271,971,3789,5907,273,2444,997,4147
36021,Columbia County,"Columbia County, New York",0,36,21,,26121,560,33,103,1171,1448,804,3509,982,500,873,267,1106,335,763,3357,4678,340,1640,805,2847
36023,Cortland County,"Cortland County, New York",0,36,23,,19895,191,62,63,662,2113,573,2038,439,219,502,158,915,154,721,3530,3313,214,1738,805,1485
36025,Delaware County,"Delaware County, New York",0,36,25,,17160,100,92,145,660,1917,453,2041,464,296,500,146,484,139,272,2901,2759,194,1228,496,1873
36027,Dutchess County,"Dutchess County, New York",0,36,27,,122837,595,117,1051,5671,8709,4448,14234,4159,2893,4624,1799,6268,1820,5426,18461,19773,2208,7845,4202,8534
36029,Erie County,"Erie County, New York",0,36,29,,420879,831,274,1807,11906,37023,17672,47337,13184,6594,22575,5472,23001,10680,23996,50287,67507,6253,36017,17150,21313
36031,Essex County,"Essex County, New York",0,36,31,,15275,158,97,48,680,1173,297,1665,275,224,298,146,380,171,244,2122,2522,505,1530,606,2134
36033,Franklin County,"Franklin County, New York",0,36,33,,17352,265,15,75,571,686,326,2169,375,219,267,179,464,115,278,2475,3750,596,1379,588,2560
36035,Fulton County,"Fulton County, New York",0,36,35,,23026,69,46,69,894,2720,790,3242,1149,535,618,219,741,254,475,2591,4756,189,1447,955,1267
36037,Genesee County,"Genesee County, New York",0,36,37,,28221,567,55,79,1097,3741,1185,3390,717,398,784,293,878,407,1004,3874,4269,489,1971,1055,1968
36039,Greene County,"Greene County, New York",0,36,39,,19130,140,34,92,839,1162,686,2444,684,366,684,213,766,230,560,2535,2817,672,1447,627,2132
36041,Hamilton County,"Hamilton County, New York",0,36,41,,1686,16,10,9,77,65,29,181,44,21,13,11,22,6,33,316,200,75,161,53,344
36043,Herkimer County,"Herkimer County, New York",0,36,43,,28118,97,55,98,889,3183,1015,3408,924,450,1082,255,937,250,899,3823,5594,278,1829,883,2169
36045,Jefferson County,"Jefferson County, New York",0,36,45,,35199,354,49,208,1629,2548,1021,4730,1513,559,827,486,860,324,1225,5297,6006,286,2888,1263,3126
36047,Kings County,"Kings County, New York",0,36,47,,957124,352,69,3463,27281,27124,35467,87528,46558,34735,56860,28314,65298,13145,54287,91378,209173,16955,64219,38631,56287
36049,Lewis County,"Lewis County, New York",0,36,49,,8751,243,14,44,459,1173,242,1031,249,96,165,85,209,43,173,1200,1542,51,630,261,841
36051,Livingston County,"Livingston County, New York",0,36,51,,27536,464,151,82,1112,3388,1177,3243,764,437,721,283,989,444,1021,4522,3474,274,1882,855,2253
36053,Madison County,"Madison County, New York",0,36,53,,29916,183,52,162,1211,3422,1190,3242,903,513,1336,299,1337,331,963,4924,4426,407,2250,980,1785
36055,Monroe County,"Monroe County, New York",0,36,55,,333636,651,174,1322,9067,37479,12128,35999,7627,6565,11379,4775,17268,9412,18251,51933,55184,4460,23856,12274,13832
36057,Montgomery County,"Montgomery County, New York",0,36,57,,19728,99,54,69,696,2261,675,2762,1065,446,581,183,686,308,454,2328,4059,131,1148,573,1150
36059,Nassau County,"Nassau County, New York",0,36,59,,620787,345,50,3879,24550,22515,31083,64714,24079,20338,40799,12451,43692,9458,28932,78447,106565,11386,36303,24923,36278
36061,New York County,"New York County, New York",0,36,61,,685324,243,50,1341,9309,13812,23745,45141,13655,46003,81835,26534,85324,16882,37232,65028,93491,19480,53017,28219,24983
36063,Niagara County,"Niagara County, New York",0,36,63,,98267,462,65,684,3537,11488,3434,12058,3217,1145,4212,1042,4398,1874,5296,11016,14632,3256,7791,3542,5118
