GEO_ID,NAME,B15002_001E,B15002_001M,B15002_002E,B15002_002M,B15002_003E,B15002_003M,B15002_004E,B15002_004M,B15002_005E,B15002_005M,B15002_006E,B15002_006M,B15002_007E,B15002_007M,B15002_008E,B15002_008M,B15002_009E,B15002_009M,B15002_010E,B15002_010M,B15002_011E,B15002_011M,B15002_012E,B15002_012M,B15002_013E,B15002_013M,B15002_014E,B15002_014M,B15002_015E,B15002_015M,B15002_016E,B15002_016M,B15002_017E,B15002_017M,B15002_018E,B15002_018M,B15002_019E,B15002_019M,B15002_020E,B15002_020M,B15002_021E,B15002_021M,B15002_022E,B15002_022M,B15002_023E,B15002_023M,B15002_024E,B15002_024M,B15002_025E,B15002_025M,B15002_026E,B15002_026M,B15002_027E,B15002_027M,B15002_028E,B15002_028M,B15002_029E,B15002_029M,B15002_030E,B15002_030M,B15002_031E,B15002_031M,B15002_032E,B15002_032M,B15002_033E,B15002_033M,B15002_034E,B15002_034M,B15002_035E,B15002_035M
0500000US36001,Albany County,201036,89,94633,91,641,153,205,95,466,133,1409,247,1049,232,1566,296,2209,380,1359,296,24908,994,4310,398,11124,669,8747,576,19545,961,9828,562,4264,430,3003,353,106403,60,827,203,290,101,573,153,1845,299,1271,244,1909,261,1880,274,1296,246,29231,862,5697,417,11179,726,11532,613,20097,1102,14569,741,2380,319,1827,295
0500000US36003,Allegany County,30577,135,15068,105,131,34,15,16,61,33,497,96,307,67,405,87,373,65,224,51,6309,236,835,105,1664,152,1750,165,1192,151,872,119,174,52,259,63,15509,89,69,24,18,28,28,17,326,57,226,56,385,84,314,74,201,49,5944,266,964,112,1779,175,2053,164,1566,142,1387,156,172,56,77,31
0500000US36005,Bronx County,840009,172,372317,171,10231,820,10301,784,17913,1295,19645,966,12947,829,13986,956,17933,1021,15641,973,112644,2436,12927,894,48694,1625,20161,1034,37562,1345,14430,716,4686,546,2616,302,467692,*****,12961,631,14128,876,20964,1204,22395,1162,17839,1007,17272,923,22155,1069,15484,995,124729,2187,18134,1002,58281,1631,34417,1289,56170,1735,26017,970,4753,442,1993,322
0500000US36007,Broome County,133739,116,63470,106,703,165,121,53,269,84,873,174,1247,274,1527,232,1654,254,928,190,20550,775,4027,336,7427,534,7057,454,9478,591,5404,454,1163,189,1042,189,70269,63,720,182,107,59,603,157,1168,203,1245,215,1804,260,1606,260,1084,188,23835,720,4549,402,8239,505,8853,497,8758,522,6232,411,797,168,669,226
0500000US36009,Cattaraugus County,53557,105,25988,89,236,72,28,22,49,27,948,144,501,103,599,105,702,108,496,102,11213,403,1684,173,2578,230,2502,230,2610,264,1272,149,379,102,191,71,27569,51,243,100,32,24,36,31,789,113,371,90,604,114,668,141,430,90,10935,351,1559,162,3365,276,3306,226,2573,222,2279,226,324,86,55,41
0500000US36011,Cayuga County,55354,158,27951,154,321,81,36,37,97,57,768,127,829,168,1301,206,1147,174,574,142,10522,521,1907,258,3003,346,2870,260,3056,308,963,146,401,128,156,51,27403,92,153,70,46,36,100,57,489,121,403,102,684,141,961,204,478,103,9687,459,2085,259,2995,273,3738,278,3124,321,2084,230,234,76,142,53
0500000US36013,Chautauqua County,89926,118,43353,107,371,107,95,61,237,92,1126,186,1129,199,1487,254,1366,238,799,142,16321,593,2610,255,4693,381,4664,344,4996,407,2547,297,572,132,340,101,46573,80,304,106,108,73,254,113,982,185,871,173,1396,223,1200,171,687,156,16868,604,2578,272,5461,385,6066,372,5273,434,3847,330,425,104,253,93
0500000US36015,Chemung County,60491,165,29522,142,192,92,147,90,130,68,537,146,551,135,774,156,1113,219,605,140,10839,493,2109,306,3233,374,2906,308,3589,344,1737,225,671,170,389,141,30969,163,160,63,13,17,194,98,471,114,575,123,584,153,951,201,503,124,11274,522,2380,271,3722,336,3868,345,3422,344,2202,267,471,149,179,90
0500000US36017,Chenango County,35113,58,17212,58,133,49,85,64,24,14,376,71,553,149,783,166,604,133,396,105,7145,313,1063,166,1679,203,1578,221,1717,230,684,149,252,66,140,53,17901,66,98,47,49,68,76,60,359,109,374,102,506,122,491,116,344,82,6770,358,1263,160,2026,189,2377,250,1874,204,1039,139,178,60,77,49
0500000US36019,Clinton County,55210,239,28293,190,196,72,169,67,449,107,1216,198,764,176,985,192,1034,192,329,87,10996,522,1414,210,3063,333,2209,282,3288,326,1358,212,436,129,387,119,26917,151,229,91,80,57,124,65,720,138,512,181,764,176,761,177,399,121,9436,502,1587,227,3014,293,2766,349,3465,334,2626,344,331,110,103,61
0500000US36021,Columbia County,45089,125,22140,93,138,70,85,66,114,60,492,138,351,117,796,182,712,141,478,105,7229,436,1040,190,2082,307,2318,316,3564,378,1585,209,672,133,484,123,22949,97,59,36,82,60,223,92,431,153,329,90,848,185,447,133,296,77,7208,425,1254,222,2594,308,2762,299,3342,344,2430,250,412,104,232,91
0500000US36023,Cortland County,30088,170,14529,128,97,43,13,22,33,36,357,102,179,71,503,114,388,125,304,83,5444,295,889,198,1455,190,1519,202,2025,238,719,139,244,96,360,94,15559,111,64,43,60,49,42,35,189,78,192,71,308,88,312,87,253,80,5466,410,912,145,1804,239,1998,225,2477,268,1230,177,203,74,49,40
0500000US36025,Delaware County,33831,113,16658,109,139,69,12,12,87,56,474,133,417,117,613,163,561,132,179,62,6458,367,975,182,2136,220,1504,250,1815,225,910,154,212,74,166,53,17173,83,89,36,35,24,51,35,384,116,271,108,467,109,392,92,233,85,6772,324,1026,163,2023,276,2085,251,1905,239,1268,174,115,55,57,34
0500000US36027,Dutchess County,196715,48,96897,46,625,177,570,169,1237,255,1769,247,1480,263,1992,294,1965,326,1606,216,28960,988,5417,457,11641,702,8696,597,17819,671,9240,488,2187,313,1693,203,99818,22,843,233,441,143,544,182,1769,313,1244,198,1678,290,2266,340,1436,186,29031,1014,5504,513,11904,635,11105,593,17908,867,11991,624,1299,219,855,186
0500000US36029,Erie County,622588,*****,291351,*****,2034,331,958,249,1661,271,5013,457,3667,448,6874,538,6681,630,6162,591,85922,1710,17921,824,38422,1454,27154,1080,52384,1292,22600,982,8825,567,5073,419,331237,*****,2389,337,1114,213,1813,304,6980,641,4288,408,8024,593,8231,586,6396,513,101414,1795,18492,884,40185,1300,39342,1203,49848,1575,34875,1124,5142,484,2704,343
0500000US36031,Essex County,28503,179,14720,173,81,43,43,47,72,52,463,114,290,89,434,127,439,129,209,68,5327,378,947,189,1927,286,1150,235,2050,247,929,161,284,101,75,35,13783,118,52,40,10,9,25,21,238,75,284,129,193,76,256,100,129,62,4507,294,786,175,1609,244,1767,233,2209,253,1559,256,85,37,74,31
0500000US36033,Franklin County,35561,163,19517,167,174,90,147,57,358,88,802,140,460,96,767,123,768,141,429,114,8484,339,1188,173,1569,178,1469,199,1631,216,838,149,248,95,185,72,16044,76,111,120,45,45,54,40,517,115,310,79,458,110,397,111,140,46,5832,369,916,163,1831,220,2185,227,1707,205,1298,193,152,76,91,68
0500000US36035,Fulton County,38702,88,18957,92,249,144,42,28,104,55,558,165,568,151,891,183,767,184,366,127,7856,485,1176,204,2017,244,1742,306,1726,239,724,164,109,64,62,35,19745,103,219,114,44,33,32,27,658,159,439,128,618,159,651,150,279,102,7520,408,1311,237,2555,331,2507,342,1659,242,1088,187,141,79,24,25
0500000US36037,Genesee County,40945,164,20036,162,174,119,41,33,75,48,371,114,289,90,562,122,436,101,195,65,7794,375,1577,214,2485,289,2263,242,2456,274,1061,181,147,57,110,61,20909,84,186,127,3,5,56,32,369,102,193,61,342,86,414,124,223,76,7648,436,1512,199,2559,312,2899,287,2558,257,1688,211,221,92,38,37
0500000US36039,Greene County,34621,197,17360,203,215,103,78,62,101,51,518,135,441,132,703,164,560,153,365,131,7048,415,862,172,2142,299,1344,233,1739,257,863,154,228,82,153,85,17261,115,130,117,26,34,96,84,466,177,249,90,397,131,296,95,303,107,6713,483,1033,238,2117,307,1773,257,1999,305,1253,201,275,127,135,71
0500000US36041,Hamilton County,3828,15,1927,44,99,108,4,6,0,123,48,27,23,14,34,21,59,24,14,13,691,72,84,29,254,55,200,52,269,57,125,40,20,13,3,5,1901,38,26,34,0,123,0,123,26,17,36,22,20,15,33,17,14,11,656,70,83,30,254,59,180,34,260,54,279,62,27,18,7,7
0500000US36043,Herkimer County,44207,130,21176,114,148,64,19,19,89,44,498,105,385,119,703,142,662,144,448,106,8156,425,1460,236,2289,252,2482,237,2469,270,1081,183,154,74,133,53,23031,105,143,62,109,104,83,61,467,152,432,113,726,141,671,172,451,130,8120,416,1591,213,2671,266,3348,278,2324,202,1683,271,188,75,24,19
0500000US36045,Jefferson County,71402,201,35678,199,216,71,79,48,183,88,573,135,710,129,1355,221,1068,227,602,151,13327,535,2841,317,4733,419,2912,358,4263,381,2033,257,633,197,150,65,35724,103,237,90,47,34,114,50,583,125,643,141,1109,186,832,130,393,107,12804,619,2304,266,4198,392,5104,465,4129,389,2825,262,251,107,151,78
0500000US36047,Kings County,1613215,319,729717,272,17820,914,10626,816,26732,1359,26654,1026,17789,960,21428,1053,18866,1333,23738,1098,210968,2651,25502,1053,77626,1645,40569,1348,134783,2488,50675,1512,18468,1035,7473,556,883498,290,20205,964,14263,859,31304,1030,33445,1105,20790,986,23666,1000,25834,1278,25192,1087,254411,3064,28729,1184,90995,2360,62155,1707,154863,2186,75369,1602,16396,935,5881,509
0500000US36049,Lewis County,17994,52,8966,62,75,57,21,22,58,35,313,100,270,75,351,107,250,70,93,43,4360,218,375,87,851,135,672,132,788,125,371,95,80,47,38,22,9028,50,110,136,14,19,10,13,179,59,169,73,220,55,308,63,72,33,4188,234,443,91,1020,132,989,135,719,105,503,86,41,27,43,32
0500000US36051,Livingston County,42311,182,21253,170,247,97,85,51,128,69,439,140,342,91,545,139,525,110,578,147,7855,396,1553,208,2160,246,2265,261,2634,222,1250,192,311,98,336,92,21058,92,206,136,0,123,67,48,250,98,169,59,518,141,313,82,383,111,7185,427,1451,215,2412,262,2719,284,3073,282,1945,236,247,79,120,54
0500000US36053,Madison County,46639,265,22626,163,182,84,61,45,111,71,373,104,339,100,840,190,512,114,414,144,8364,411,1234,176,2268,319,2425,256,3321,301,1438,176,283,80,461,105,24013,158,73,40,17,23,75,53,371,163,448,135,535,124,567,136,461,127,7898,446,1566,214,2769,303,3678,318,3099,293,1905,218,212,77,339,92
0500000US36055,Monroe County,487246,122,227757,64,2513,395,960,207,2252,321,2852,319,2994,345,5468,453,5109,554,4308,479,56668,1424,13107,771,26891,1042,22182,909,48283,1372,23342,971,6258,499,4570,412,259489,80,2166,384,1280,257,2253,305,4520,469,3413,429,5726,479,6596,626,4270,410,68255,1451,15355,846,28727,1054,29866,1090,47633,1243,32288,992,4539,478,2602,371
0500000US36057,Montgomery County,34034,69,16079,98,144,61,36,35,107,81,702,165,465,124,588,151,623,131,371,96,6137,334,1069,178,1648,191,1704,193,1481,209,698,151,225,72,81,38,17955,74,177,78,88,41,129,65,509,108,412,87,702,146,544,126,300,93,6738,327,1074,191,2074,238,2274,223,1557,216,1168,202,168,60,41,34
0500000US36059,Nassau County,904445,61,424201,42,3815,407,3583,614,7879,894,5754,614,3754,407,5019,508,5225,470,8346,603,100968,2210,19527,950,52608,1473,28814,1350,103991,1868,42152,1236,25918,1083,6848,574,480244,46,4551,504,4105,539,8069,731,7761,680,4101,443,5616,464,6047,532,9218,676,129612,2016,20830,937,49019,1372,39913,1325,101459,1924,70495,1460,14670,609,4778,510
0500000US36061,New York County,1166760,86,544306,80,9507,889,5637,665,13035,1094,14940,1083,7931,808,9170,868,9529,797,10260,799,72935,2192,12332,938,46082,1816,16714,1054,161240,2501,87780,2074,47549,1515,19665,1014,622454,42,12452,890,10394,815,16617,1169,17073,953,9318,835,10779,858,12091,754,10455,667,82217,2117,13924,936,51802,1848,26502,1039,186652,2577,109538,2162,35312,1272,17328,957
0500000US36063,Niagara County,148173,151,70240,86,715,187,229,123,136,59,1211,232,1055,207,1757,241,2259,317,1531,254,26560,837,5213,405,8890,575,7613,491,7880,484,3768,365,801,194,622,170,77933,110,589,185,125,64,360,115,1268,229,997,200,1696,233,1909,270,1399,234,28870,827,5166,431,8846,551,10704,566,8728,521,6415,446,662,149,199,79
0500000US36065,Oneida County,159341,178,78143,170,1179,240,372,111,464,147,1976,255,1540,245,2384,252,2460,292,1483,244,26274,761,5757,421,9461,616,7987,519,10536,619,3928,297,1355,226,987,179,81198,65,1056,205,359,112,552,164,2024,259,1021,198,1937,260,2234,303,1298,213,27966,784,6085,469,9382,620,9844,605,9976,524,6226,428,735,171,503,133
0500000US36067,Onondaga County,304320,140,142815,96,952,192,401,134,1089,308,2359,292,1982,361,2951,429,3167,330,2614,381,39488,1114,8191,561,17219,789,14547,792,28823,863,12180,592,4070,318,2782,301,161505,113,1097,215,438,131,758,152,2469,268,2358,382,3610,349,3808,404,2565,322,45267,1240,9983,562,19869,813,19659,963,26741,920,18603,915,2835,325,1445,202
0500000US36069,Ontario County,72132,209,34507,162,167,99,113,80,190,78,494,117,549,183,677,172,723,160,360,95,10068,498,2247,276,3883,387,4072,381,6859,495,2759,238,817,170,529,140,37625,127,190,95,42,55,191,93,593,149,357,140,586,153,534,118,379,93,10537,474,2745,344,4352,351,5748,443,6370,446,4300,342,505,127,196,75
0500000US36071,Orange County,232097,71,112210,44,1287,308,1026,289,1611,335,1720,286,2183,333,2596,419,2759,398,2585,355,35424,1223,6475,504,15843,685,8714,639,17847,779,8547,618,2246,344,1347,225,119887,59,1080,249,875,246,1104,252,2001,308,1778,320,2416,358,3329,420,2420,316,35976,1097,7454,537,14843,747,12414,634,19095,824,13126,755,1489,210,487,131
0500000US36073,Orleans County,29133,249,14120,220,118,57,104,63,185,87,493,111,285,97,426,85,353,106,399,104,5973,376,920,173,1646,303,1274,233,1279,177,526,120,52,35,87,48,15013,124,50,32,20,25,114,60,449,138,337,105,540,123,563,139,157,61,6046,359,904,173,1896,263,1490,189,1503,185,780,135,118,61,46,43
0500000US36075,Oswego County,78127,113,38223,72,226,90,78,72,151,67,1045,198,728,146,1273,191,1445,257,808,155,17031,515,2895,284,4217,361,2844,309,3717,321,1279,182,258,80,228,82,39904,100,336,135,82,50,137,83,781,156,706,159,1069,199,1138,229,714,137,16230,591,3147,307,4326,362,4478,426,3789,321,2575,273,270,82,126,60
0500000US36077,Otsego County,39938,404,19171,106,197,91,88,52,44,26,516,113,330,82,506,104,413,104,429,118,7122,335,1194,193,1866,205,1927,195,2546,245,1093,181,549,113,351,93,20767,387,159,78,54,42,74,37,369,123,349,104,469,121,400,103,284,78,7084,352,1290,175,2482,290,2109,205,3244,300,1828,212,243,60,329,112
0500000US36079,Putnam County,68000,126,33173,111,154,85,68,63,206,111,258,102,208,88,479,144,450,131,559,146,9711,672,1868,311,4835,469,2027,269,7553,535,3390,357,873,175,534,155,34827,143,116,88,131,84,230,129,288,102,154,69,310,109,446,139,251,89,10079,608,1671,242,4129,417,3536,402,7418,468,4975,405,749,170,344,114
0500000US36081,Queens County,1527856,*****,719894,*****,12816,788,10728,834,27621,1370,20213,1016,14819,1026,19063,1131,15198,886,23002,898,205458,3139,26760,1091,82766,1980,47575,1639,140908,2639,48899,1542,16965,885,7103,653,807962,*****,17922,986,12958,734,31494,1407,25236,1036,15344,876,20992,1016,15140,909,23510,972,230821,3073,31394,1091,83824,1909,62950,1815,152673,2644,65469,1839,13088,815,5147,433
0500000US36083,Rensselaer County,106304,86,50676,*****,242,101,101,71,209,83,1106,209,909,205,1172,207,952,194,860,190,16225,759,3261,336,5863,419,5977,458,7825,486,3971,371,1112,211,891,196,55628,87,267,102,160,87,343,99,1315,228,933,223,1189,248,1122,208,591,119,18122,656,3834,415,6487,445,6658,457,8059,522,5407,375,715,139,426,112
0500000US36085,Richmond County,311146,53,146443,63,1734,295,614,159,1971,367,2560,338,1384,282,2970,365,2929,396,4023,511,47548,1381,7898,633,21055,1094,9911,663,26555,1283,10118,674,3739,391,1434,273,164703,45,2369,375,854,197,2298,374,3051,389,1826,323,3342,494,2986,385,3929,347,57464,1392,8581,701,17903,1051,13164,834,27033,1242,15935,784,3138,356,830,198
0500000US36087,Rockland County,192620,83,91416,77,1576,419,786,212,1612,339,1511,265,1091,247,1266,258,1224,235,1931,251,21262,925,4285,425,11293,680,6261,553,21254,803,10211,542,3995,418,1858,252,101204,55,1323,274,856,225,2015,353,1823,315,1071,240,1498,283,1452,276,2227,285,24565,992,4327,463,10619,687,8328,628,22050,929,15774,872,1945,248,1331,212
0500000US36089,St. Lawrence County,70150,488,34890,310,340,117,125,72,325,118,1098,180,838,181,1109,217,1139,190,508,117,13820,553,1993,231,3818,313,3761,361,3368,353,1690,192,533,123,425,122,35260,224,308,154,31,22,99,50,1141,202,474,123,851,147,1043,194,509,109,13339,475,2068,207,3740,378,4551,349,3698,315,2919,291,263,85,226,87
0500000US36091,Saratoga County,149410,254,72222,172,509,156,145,91,306,128,948,172,696,153,1423,274,1172,218,981,239,20724,692,3594,375,8021,588,8004,553,15693,681,6796,490,1588,262,1622,239,77188,180,335,130,121,75,232,104,1027,314,823,218,1310,247,1442,262,790,149,21943,871,4431,391,9461,617,9292,537,13937,582,9928,592,1311,210,805,171
0500000US36093,Schenectady County,103555,71,48543,45,335,138,87,71,250,121,879,232,571,156,868,189,951,178,923,215,14942,699,2976,297,5923,498,5596,403,7948,510,3734,399,1070,200,1490,221,55012,63,540,141,193,83,344,124,734,180,451,112,1101,216,1143,231,997,214,17778,663,3136,330,6578,583,6541,443,8297,573,5807,489,923,176,449,110
0500000US36095,Schoharie County,22096,130,10886,107,22,21,17,17,44,29,357,97,186,92,659,181,324,92,113,53,4358,275,525,108,1062,128,1075,152,1354,227,570,125,126,51,94,60,11210,112,23,23,22,21,0,123,235,100,239,101,332,133,352,103,62,34,4279,310,634,153,929,156,1615,234,1361,194,941,217,83,63,103,63
0500000US36097,Schuyler County,12977,72,6319,50,41,26,4,5,15,15,256,94,74,29,184,66,204,67,151,63,2491,192,488,103,730,146,661,139,550,94,353,97,87,55,30,28,6658,56,33,36,4,5,7,8,87,34,87,41,161,53,200,86,124,53,2646,210,395,101,918,123,758,140,692,115,421,93,93,63,32,29
0500000US36099,Seneca County,24267,141,12486,144,141,65,24,19,78,40,543,99,343,86,599,138,522,130,159,57,4615,334,880,163,1210,151,1303,161,1326,154,503,102,133,51,107,37,11781,82,161,122,30,22,63,31,301,78,181,63,261,68,362,96,199,62,4020,253,885,146,1383,192,1622,166,1473,184,659,109,105,46,76,34
0500000US36101,Steuben County,67276,148,32738,108,329,102,43,29,125,52,1223,184,444,96,1001,163,893,122,641,149,12301,467,2260,260,3416,286,3683,309,3281,268,2061,254,508,107,529,128,34538,79,269,73,55,28,97,49,716,144,619,134,827,163,807,171,330,76,12481,466,2502,208,3874,299,4940,304,3748,279,2913,284,247,93,113,41
0500000US36103,Suffolk County,993716,108,476624,83,4495,509,3200,498,7006,895,7197,755,5899,635,7231,619,8710,758,8930,662,140418,2608,25711,1048,64872,1485,37707,1583,90515,1923,42452,1145,14993,757,7288,504,517092,58,4583,520,3659,501,5824,557,7696,670,5353,510,7194,444,8836,671,9541,812,163272,2708,27269,1083,60710,1561,51132,1492,85434,1811,63652,1630,8957,554,3980,425
0500000US36105,Sullivan County,53448,206,27084,140,629,207,158,85,214,90,791,180,674,173,1131,199,1185,183,299,103,9963,549,1190,229,3583,438,2228,276,2931,456,1568,297,391,103,149,73,26364,196,362,137,181,161,161,77,574,146,550,156,587,195,615,173,506,118,8408,474,1635,253,3865,413,3130,370,3172,325,2293,310,237,105,88,53
0500000US36107,Tioga County,35124,63,17150,76,97,60,23,23,38,33,286,80,278,92,544,144,659,177,238,83,6424,399,1065,181,1610,216,1739,244,2701,280,1125,185,179,70,144,66,17974,72,58,35,0,123,78,50,135,74,380,143,482,135,336,123,197,74,6702,415,1184,179,2267,221,2330,274,2061,241,1561,222,101,51,102,56
0500000US36109,Tompkins County,56968,189,27216,138,187,96,24,26,88,54,149,71,235,92,531,155,581,174,327,114,5829,430,1174,246,2853,352,1627,277,5534,403,3923,371,881,209,3273,304,29752,173,231,104,83,56,108,60,199,96,209,93,450,142,537,165,402,104,5982,387,1269,191,3077,396,2483,308,6574,514,5561,404,766,166,1821,226
0500000US36111,Ulster County,126669,119,62415,108,557,172,200,78,533,161,1166,212,1204,209,1961,345,2023,327,1285,283,18543,805,3209,360,8818,655,5650,566,9926,579,4881,369,1502,262,957,221,64254,80,594,206,193,88,366,119,1138,216,900,224,1329,245,1250,244,1080,166,18780,786,3385,316,8778,582,6333,473,10280,562,8305,529,1067,196,476,133
0500000US36113,Warren County,46676,174,22397,115,173,121,6,9,69,42,418,116,372,118,631,194,431,132,263,95,7312,445,1304,217,2732,302,2239,279,3812,325,1681,259,667,140,287,99,24279,144,171,89,29,23,78,45,264,87,468,149,574,149,666,227,239,89,8075,516,1571,225,2979,284,2880,341,3380,295,2576,300,209,88,120,53
0500000US36115,Washington County,43839,160,22236,154,191,137,103,43,137,58,772,163,654,179,757,157,545,129,376,112,9741,391,1433,230,2299,274,1905,208,2035,232,893,155,258,78,137,53,21603,87,198,83,7,9,154,117,559,141,259,66,700,168,446,112,314,79,8651,412,1317,218,2451,248,2488,276,2138,252,1674,212,193,68,54,34
0500000US36117,Wayne County,63678,125,31120,123,477,114,73,60,263,102,810,154,825,182,889,209,790,202,546,119,10916,481,2396,278,3469,323,3399,318,4094,399,1663,193,334,110,176,66,32558,90,229,143,98,76,181,88,687,138,556,137,814,154,742,207,495,114,10932,564,2683,271,3467,335,4282,419,4146,409,3101,389,110,57,35,35
0500000US36119,Westchester County,635503,79,295862,39,2098,342,2895,465,9044,894,5822,678,4093,437,4244,432,5168,588,5352,556,67864,1656,9661,672,30845,1242,15334,899,66889,1631,37256,1068,21485,992,7812,528,339641,67,3160,417,3305,397,8062,709,7007,586,4107,479,4840,505,5853,430,5198,409,78119,1806,12435,826,34721,1033,23463,1087,75419,1587,55619,1333,12785,686,5548,434
0500000US36121,Wyoming County,29888,46,16634,74,157,111,60,50,181,80,575,115,397,81,692,137,761,152,238,65,7347,340,948,145,1805,229,1633,194,1220,169,411,97,134,63,75,54,13254,45,87,87,24,25,36,46,125,53,177,55,276,70,339,104,220,79,4862,282,1000,164,1515,205,2008,201,1554,190,826,132,158,78,47,33
0500000US36123,Yates County,16273,75,7832,67,43,26,13,15,20,23,614,123,84,39,205,58,238,88,168,57,3202,245,420,99,654,122,580,118,806,118,511,119,84,45,190,74,8441,55,33,26,8,12,14,14,563,116,142,55,175,56,178,57,127,46,3080,258,411,105,781,129,924,119,1111,181,802,125,76,36,16,12
