City,Library,Address,Zip,Phone,State
Adams,Adams Free Library,2 North Main Street,13605,(315) 232-2265,New York
Adams Center,Adams Center Free Library,18267 State Route 177,13606,(315) 583-5501,New York
Addison,Addison Public Library,6 South Street,14801,(607) 359-3888,New York
Afton,Afton Free Library,105 A Main Street,13730,(607) 639-1212,New York
Akron,Newstead Public Library,33 Main Street,14001,(716) 542-2327,New York
Albany,Albany Public Library - Arbor Hill-West Hill Branch,148 Henry Johnson Boulevard,12210,(518) 694-0596,New York
Albany,Albany Public Library - Delaware Branch,331 Delaware Avenue,12209,(518) 463-0254,New York
Albany,Albany Public Library - John A. Howe Branch,105 Schuyler Street,12202,(518) 472-9485,New York
Albany,Albany Public Library - John J. Bach Branch,455 New Scotland Avenue,12208,(518) 482-2154,New York
Albany,Albany Public Library - Main Library,161 Washington Avenue,12210,(518) 427-4300,New York
Albany,Albany Public Library - North Albany Branch,616 North Pearl Street,12204,(518) 463-1581,New York
Albany,Albany Public Library - Pine Hills Branch,,12208,(518) 482-7911,New York
Albany,Upper Hudson Library System,28 Essex Street,12206,(518) 437-9880,New York
Albertson,Shelter Rock Public Library,165 Searingtown Road,11507,(516) 248-7363,New York
Albion,Swan Library,4 North Main Street,14411,(585) 589-4246,New York
Alden,Alden Ewell Free Library,13280 Broadway,14004,(716) 937-7082,New York
Alexandria Bay,Macsherry Library,112 Walton Street,13607,(315) 482-2241,New York
Alfred,Alfred Box Of Books Library,1 West University Street,14802,(607) 587-9290,New York
Allegany,Allegany Public Library,90 West Main Street,14706,(716) 373-1056,New York
Almond,Almond Twentieth Century Club Library,p o box d,14804,(607) 276-6311,New York
Altamont,Altamont Free Library,105 Park Street,12009,(518) 861-7239,New York
Altona,Altona Reading Center,3124 Rt. 191,12910,(518) 236-7621,New York
Amagansett,Amagansett Free Library,215 Main Street,11930,(631) 267-3810,New York
Amenia,Amenia Free Library,3309 Route 343,12501,(845) 373-8273,New York
Amherst,Audubon Branch,350 John James Audubon Parkway,14228,(716) 688-4919,New York
Amityville,Amityville Public Library,,11701,(631) 264-0567,New York
Amsterdam,Amsterdam Free Library,28 Church Street,12010,(518) 842-1080,New York
Andes,Andes Public Library,242 Main Street,13731,(845) 676-3333,New York
Andover,Andover Free Library,40 Main Street,14806,(607) 478-8442,New York
Angelica,Angelica Free Library,55 West Main Street,14709,(585) 466-7860,New York
Angola,Angola Public Library,34 North Main Street,14006,(716) 549-1271,New York
Antwerp,Crosby Public Library,59 Main Street,13608,(315) 659-8564,New York
Apalachin,Apalachin Library Association,719 Main St,13732,(607) 625-3333,New York
Arcade,Arcade Free Library,365 West Main Street,14009,(585) 492-1297,New York
Ardsley,Ardsley Public Library,9 American Legion Drive,10502,(914) 693-6636,New York
Argyle,Argyle Free Library,21 Sheridan Street,12809,(518) 638-8911,New York
Armonk,North Castle Public Library,19 Whippoorwill Road East,10504,(914) 273-3887,New York
Arverne,Queens Borough Public Library - Arverne,312 Beach 54 Street,11692,(718) 634-4784,New York
Ashville,Ashville Free Library,2200 North Maple Street,14710,(716) 763-9906,New York
Astoria,Queens Borough Public Library - Astoria,14-01 Astoria Boulevard,11102,(718) 278-2220,New York
Astoria,Queens Borough Public Library - Steinway,21-45 31 Street,11105,(718) 728-1965,New York
Athens,D.R. Evarts Library,80 Second Street,12015,(518) 945-1417,New York
Atlanta,E J Cottrell Memorial Library,30 Main Street,14808,(585) 534-5030,New York
