GEO_ID,NAME,B24031_01E,B24031_01M,B24031_02E,B24031_02M,B24031_03E,B24031_03M,B24031_04E,B24031_04M,B24031_05E,B24031_05M,B24031_06E,B24031_06M,B24031_07E,B24031_07M,B24031_08E,B24031_08M,B24031_09E,B24031_09M,B24031_10E,B24031_10M,B24031_11E,B24031_11M,B24031_12E,B24031_12M,B24031_13E,B24031_13M,B24031_14E,B24031_14M,B24031_15E,B24031_15M,B24031_16E,B24031_16M,B24031_17E,B24031_17M,B24031_18E,B24031_18M,B24031_19E,B24031_19M,B24031_20E,B24031_20M,B24031_21E,B24031_21M,B24031_22E,B24031_22M,B24031_23E,B24031_23M,B24031_24E,B24031_24M,B24031_25E,B24031_25M,B24031_26E,B24031_26M,B24031_27E,B24031_27M
0500000US36001,Albany County,36582,628,20634,3407,20254,3238,67917,69113,39569,2502,48879,3281,41060,2384,20077,2038,43123,2737,40964,2769,62009,11293,44914,4967,41426,2359,44435,2894,32129,5538,44380,2687,52659,1986,71240,661,21152,1605,35966,1089,39690,2257,34082,1394,13107,1997,16438,2299,12270,1358,28214,2251,51583,1235
0500000US36003,Allegany County,25939,621,19411,2764,18554,2075,27813,11713,31496,1967,36042,1163,31417,5983,18333,3291,38194,3827,36053,3421,60500,14751,11048,3087,27140,2178,27880,3689,26250,7248,24091,6380,25463,10602,-,**,17639,11171,22497,1959,19448,3525,25724,1295,8820,1396,6625,12791,8892,1265,20763,2074,45410,4414
0500000US36005,Bronx County,28404,436,33469,3040,33155,5406,70043,1978,27859,1543,23794,2154,30781,1870,17479,479,31713,922,30906,961,47260,4444,42255,2233,38625,1131,44136,1768,35271,1583,31705,831,44675,2823,39118,1862,23585,1479,31771,306,37752,1471,30697,353,18811,771,24710,2728,17989,709,17509,904,47333,1781
0500000US36007,Broome County,28643,693,25028,8281,19500,11676,32589,15723,32217,2203,40516,1754,34706,4125,17911,1521,41705,1879,35600,2649,54637,4670,29654,3047,33683,2360,35496,1686,25566,1931,35303,3915,48946,3986,49773,193135,20940,3298,28408,1659,26733,2891,29329,1701,11930,842,13125,3511,11684,884,19601,2831,50753,6551
0500000US36009,Cattaraugus County,26445,583,20322,2901,17222,1966,29299,2129,32475,2078,33435,1787,34757,4623,16598,1336,38175,2603,36413,3063,50197,9505,24063,7179,30597,2360,32740,4017,24635,5087,30218,5018,33806,3863,-,**,25613,5507,28690,1594,31607,3948,27144,1302,10849,1111,17899,1490,8537,1236,17258,2785,40922,3012
0500000US36011,Cayuga County,30786,570,26076,3783,23026,4025,44583,5391,38516,2227,36484,2032,32447,5626,18922,2857,42663,2591,41155,3142,54792,15024,25341,8303,35843,3928,36731,5556,35057,7080,33036,4800,43587,6557,68500,49880,16775,4696,28572,2224,28663,5728,28531,1922,12151,1210,17730,9841,11790,1140,23467,3025,49980,4740
0500000US36013,Chautauqua County,26919,587,17367,3521,16333,2104,41250,5495,31852,1991,34775,1108,38552,2325,17150,1149,35618,4431,32331,3574,49784,5610,33827,5270,23614,3013,23891,3433,23173,4090,23264,3562,38462,7634,24205,40228,17522,1929,29296,1893,36900,2276,25963,1536,8788,1550,8063,3514,8945,1824,19038,4642,49701,2540
0500000US36015,Chemung County,29804,1049,48409,11104,17885,3417,58214,31700,33003,4674,41119,1906,31686,3114,17272,1969,45070,6844,37222,13335,55500,13432,50259,10470,30829,2091,32282,3842,27500,6699,25635,3389,47563,13989,-,**,15797,3659,29032,1778,30573,2815,28213,1841,10156,1319,7829,7958,10289,1318,25362,2571,50458,4919
0500000US36017,Chenango County,28605,1458,20114,5266,19050,5986,38125,25046,32093,2623,35673,2068,35865,6863,17965,3622,40464,2690,39688,2662,45833,14783,36875,9884,30994,1677,31549,1932,21458,11490,33816,6351,53063,10887,50417,12795,22500,6519,26636,1619,30000,5272,25400,1706,9804,1721,10859,7216,9685,1811,20991,3653,44625,7527
0500000US36019,Clinton County,29942,980,20000,5476,18952,5595,34306,5169,32787,3814,31407,2022,28641,7622,20904,1407,34038,4098,32354,3401,57788,12041,27188,9965,34708,5785,37554,2312,19722,7635,29091,6763,32911,5065,-,**,16823,6899,31243,1501,36307,5205,29092,1706,12105,2828,16942,8330,11219,2601,24955,3908,56724,1911
